fuel_type,accidents,luxury_brand,engine_size,automatic_transmission,car_age,mileage_status,external_color,internal_color,metallic_color,price
Gasoline,No,Yes,2,Yes,3,avg,Black,Black,No,39650
Gasoline,Yes,Yes,2,Yes,9,avg,Gray,Black,No,19000
Diesel,No,Yes,3,Yes,3,high,White,Black,No,45000
Gasoline,Yes,No,3.6,Yes,10,low,Silver,Gray,No,17498
Gasoline,No,No,3.6,Yes,9,low,Silver,Black,No,19750
Gasoline,No,Yes,4.8,Yes,11,avg,Other,Gray,No,23000
Gasoline,Yes,No,5.7,Yes,19,low,Gray,Other_Colored,No,12000
Gasoline,No,Yes,3.7,Yes,10,verylow,Black,Black,No,23000
Gasoline,No,Yes,5,Yes,4,low,White,Other_Colored,No,112000
Hybrid,Yes,No,2.4,Yes,17,verylow,Silver,Gray,No,9250
Gasoline,No,No,3.6,Yes,8,above_expected,Other,Beige,No,12500
Gasoline,No,No,2,Yes,3,avg,Black,Other_Colored,No,36999
Diesel,Yes,No,6.7,Yes,7,high,Gray,Gray,No,41000
Diesel,Yes,No,6.7,Yes,10,above_expected,Black,Other_Colored,No,40500
Gasoline,Yes,Yes,4.6,Yes,11,avg,Black,Black,No,15900
Gasoline,Yes,Yes,4.4,Yes,6,avg,Red,Other_Colored,No,54999
Gasoline,No,No,4.6,No,21,low,Gray,Gray,No,24500
Gasoline,No,Yes,2.4,Yes,2,avg,Gray,Black,No,26599
Gasoline,Yes,No,4.2,Yes,19,avg,White,Beige,No,2800
Other,Yes,No,6.2,Yes,11,avg,Black,Black,No,22000
Gasoline,No,Yes,4,Yes,6,avg,Gray,Gray,No,52000
Gasoline,Yes,Yes,5.6,Yes,8,avg,Silver,Beige,No,25950
Gasoline,No,No,1.4,Yes,5,avg,White,Black,No,18795
Gasoline,No,Yes,3,Yes,5,low,Black,Beige,No,43999
Gasoline,No,No,3.7,Yes,14,avg,Gray,Gray,No,5900
Gasoline,Yes,Yes,5.5,Yes,13,low,White,Black,No,37000
Gasoline,No,Yes,3,Yes,8,avg,White,Beige,No,28000
Gasoline,No,No,2.5,Yes,2,verylow,Black,Black,No,25500
Gasoline,No,Yes,6,Yes,15,low,Blue,Beige,No,59400
Gasoline,No,Yes,4,Yes,2,low,Red,Black,No,217950
Gasoline,No,Yes,4,Yes,2,above_expected,Other,Other_Colored,No,197750
Gasoline,No,Yes,3,Yes,6,low,Silver,Other_Colored,No,106798
Gasoline,No,No,2,No,8,low,Blue,Black,No,29950
Gasoline,Yes,No,3.8,Yes,13,high,Gray,Black,No,4000
Gasoline,Yes,No,3.5,Yes,6,above_expected,White,Other_Colored,No,25500
Gasoline,No,No,2.4,Yes,4,avg,Black,Beige,Yes,22749
Gasoline,Yes,No,3.7,Yes,11,high,Blue,Black,No,12990
Gasoline,No,Yes,3,Yes,10,low,Silver,Black,No,25980
Other,No,No,,Yes,14,avg,Other,Black,No,17000
Gasoline,No,Yes,4,Yes,4,verylow,Blue,Black,No,199995
Gasoline,No,No,6.2,Yes,4,verylow,Other,Black,No,104500
Gasoline,No,Yes,2.7,Yes,11,low,Other,Beige,No,35500
Gasoline,Yes,Yes,2,Yes,6,low,Gray,Black,Yes,49500
Diesel,No,No,6.7,Yes,3,above_expected,White,Gray,No,49883
Gasoline,Yes,No,4.6,Yes,14,low,Red,Black,No,14900
Gasoline,No,No,5.3,Yes,4,above_expected,Black,Black,No,38500
Gasoline,No,Yes,2,Yes,6,avg,Black,Black,No,28251
Other,Yes,No,3.6,Yes,5,low,Black,Black,No,33242
Hybrid,Yes,No,3.4,Yes,1,verylow,Other,Other_Colored,No,76373
Gasoline,Yes,Yes,4.4,Yes,6,low,Other,Black,No,68000
Gasoline,No,No,2.5,Yes,2,high,Red,Black,Yes,25099
Gasoline,Yes,No,2.5,No,8,high,Other,Black,Yes,15998
Diesel,No,Yes,3,Yes,9,avg,White,Gray,No,34000
Gasoline,No,No,3.8,Yes,4,low,Blue,Gray,No,31900
Gasoline,No,Yes,6.6,Yes,8,verylow,Black,Black,No,166900
Gasoline,No,Yes,4.4,Yes,5,low,Blue,Black,No,67900
Gasoline,Yes,No,3.7,No,11,low,Black,Black,No,18750
Gasoline,No,Yes,4.8,Yes,15,verylow,Black,Black,No,18500
Electric,Yes,No,,Yes,1,avg,Black,Black,No,29895
Gasoline,No,No,2.3,Yes,5,avg,Black,Other_Colored,No,30890
Gasoline,No,No,3.8,Yes,2,avg,Other,Gray,No,46787
Gasoline,No,No,3.5,Yes,2,avg,White,Beige,No,79999
Gasoline,No,Yes,4.7,Yes,9,verylow,Black,Black,No,62500
Gasoline,No,No,6,Yes,7,above_expected,Blue,Beige,No,27000
Hybrid,No,Yes,3,Yes,4,avg,White,Black,No,50000
Gasoline,Yes,No,2.3,Yes,7,high,White,Black,No,20989
Gasoline,Yes,No,1.4,Yes,6,above_expected,White,Black,No,8500
Hybrid,No,Yes,3,Yes,4,low,Silver,Black,No,75500
Gasoline,No,Yes,2,Yes,1,above_expected,White,Black,No,62999
Gasoline,No,Yes,4.4,No,12,verylow,White,Beige,No,38995
Gasoline,Yes,No,4,Yes,16,avg,White,Black,No,13500
Gasoline,No,No,1.6,Yes,2,low,Red,Black,No,29998
Gasoline,Yes,No,2,No,10,high,Silver,Black,No,11500
Gasoline,No,No,3.3,Yes,3,verylow,Black,Black,No,45899
Gasoline,No,No,6.2,Yes,1,verylow,Red,Gray,No,74500
Gasoline,Yes,Yes,5.5,Yes,7,high,White,Black,No,78000
Gasoline,No,No,3.9,Yes,19,low,Other,Other_Colored,No,14900
Electric,No,Yes,,Yes,5,verylow,Gray,Beige,Yes,38999
Gasoline,No,No,6.2,Yes,7,avg,White,Black,No,39750
Gasoline,No,No,3.8,Yes,1,low,Silver,Black,No,40000
Gasoline,No,No,6,No,19,verylow,Blue,Black,No,26000
Gasoline,No,Yes,4.4,Yes,10,low,White,Beige,No,34000
Gasoline,No,No,2.5,Yes,7,high,Silver,Black,No,17500
Gasoline,No,No,3.6,Yes,9,avg,Gray,Beige,No,19780
Gasoline,No,No,6.2,Yes,3,low,Black,Black,No,93500
Gasoline,No,No,3.8,Yes,14,verylow,Blue,Black,No,72999
Gasoline,No,No,3.5,Yes,6,high,Silver,Gray,No,31000
Gasoline,No,Yes,3,Yes,4,high,Blue,Beige,No,54500
Gasoline,No,Yes,3.5,Yes,6,avg,Black,Black,No,27000
Gasoline,No,Yes,2.5,No,14,low,Black,Beige,No,18500
Gasoline,No,No,5.3,Yes,5,avg,Black,Other_Colored,No,51899
Gasoline,No,No,6,Yes,19,low,Red,Black,No,20995
Gasoline,No,No,5.7,Yes,10,avg,Gray,Other_Colored,No,19750
Gasoline,No,No,5,Yes,8,avg,White,Beige,No,21400
Gasoline,No,Yes,6.5,Yes,5,verylow,Blue,Black,No,649999
Gasoline,No,No,4.6,Yes,21,low,Gray,Black,No,10500
Electric,No,Yes,,Yes,3,low,Blue,Black,Yes,39599
Hybrid,No,No,3.4,Yes,1,avg,Other,Black,No,78900
Hybrid,No,Yes,3,Yes,4,low,Silver,Black,No,74900
Gasoline,No,No,3.6,Yes,2,low,Black,Black,No,42599
Gasoline,No,Yes,4.7,Yes,9,low,Other,Beige,No,36000
Gasoline,Yes,Yes,4.4,Yes,11,low,White,Beige,No,37500
Gasoline,No,Yes,,Yes,2,low,Other,Other_Colored,No,43900
Hybrid,No,Yes,4.4,Yes,1,low,Red,Black,No,143998
Gasoline,No,No,3.5,Yes,13,high,Other,Beige,No,14000
Gasoline,No,Yes,2,Yes,12,high,White,Black,No,7000
Gasoline,Yes,Yes,3,Yes,5,avg,Gray,Black,No,41995
Gasoline,No,Yes,3,Yes,15,low,White,Black,No,12500
Gasoline,No,No,3.8,Yes,26,verylow,White,Gray,No,10300
Gasoline,No,No,5.7,Yes,12,high,Black,Gray,No,17500
Other,No,No,,No,5,avg,Other,Black,No,50000
Gasoline,No,Yes,5,Yes,6,low,White,Other_Colored,No,63998
Hybrid,No,Yes,3,Yes,3,low,Silver,Black,No,61059
Gasoline,No,No,2,No,9,low,Gray,Black,No,23000
Gasoline,Yes,No,5.3,Yes,7,above_expected,Black,Black,No,21000
Gasoline,No,Yes,3.5,Yes,4,avg,Gray,Gray,No,29900
Gasoline,No,Yes,2.9,Yes,13,low,Black,Beige,No,28000
Gasoline,No,Yes,3.5,Yes,7,high,Black,Black,No,16000
Gasoline,No,Yes,3,Yes,6,verylow,Black,Black,No,64000
Gasoline,No,Yes,,Yes,2,verylow,Other,Other_Colored,No,238900
Hybrid,No,Yes,3,Yes,1,avg,Black,Other_Colored,No,90000
Gasoline,No,Yes,4.4,Yes,4,low,Gray,Black,Yes,84900
Electric,No,Yes,,Yes,4,avg,Blue,Black,No,41999
Electric,No,Yes,,Yes,1,above_expected,Gray,Other_Colored,No,54900
Gasoline,Yes,Yes,5.5,Yes,13,verylow,Red,Other_Colored,No,30999
Gasoline,Yes,Yes,5,Yes,4,high,White,Black,No,64500
Other,No,No,3,Yes,12,above_expected,Blue,Black,No,4500
Gasoline,Yes,Yes,3.5,Yes,8,low,Silver,Black,No,25995
Gasoline,No,Yes,2.5,Yes,5,verylow,Gray,Black,No,99750
Gasoline,No,Yes,4,Yes,4,low,White,Black,Yes,142998
Gasoline,No,No,5.7,Yes,2,avg,White,Black,No,45861
Gasoline,No,Yes,5.2,Yes,4,verylow,Black,Black,Yes,187900
Gasoline,No,No,2,No,18,low,Silver,Black,No,57000
Gasoline,No,Yes,3.5,Yes,11,low,Blue,Gray,No,24000
Gasoline,No,No,3,Yes,12,avg,White,Beige,No,10000
Gasoline,Yes,No,6.2,No,2,low,Gray,Black,No,46000
Hybrid,No,No,2.5,Yes,2,high,White,Gray,No,29900
Gasoline,No,No,3.5,Yes,5,above_expected,White,Gray,No,39000
Hybrid,No,Yes,3.5,Yes,12,above_expected,Black,Black,No,7000
Gasoline,No,Yes,3,Yes,10,low,Black,Black,No,32998
Gasoline,No,No,3.6,Yes,4,low,Black,Black,No,38598
Gasoline,No,Yes,2.5,Yes,7,avg,Blue,Black,No,62500
Gasoline,No,Yes,5.2,Yes,10,verylow,White,Black,No,117000
Gasoline,Yes,No,3.7,Yes,8,avg,Silver,Black,No,16750
Gasoline,No,No,4.3,Yes,23,low,Red,Gray,No,7000
Gasoline,No,Yes,4,Yes,3,above_expected,Black,Black,No,130000
Gasoline,No,Yes,3.5,Yes,2,avg,Black,Other_Colored,No,54998
Gasoline,Yes,Yes,4.4,Yes,5,avg,Blue,Other_Colored,No,45999
Gasoline,No,No,6.2,Yes,8,above_expected,Black,Other_Colored,No,21500
Hybrid,No,No,2,Yes,11,above_expected,Blue,Black,No,7945
Gasoline,No,No,2.5,Yes,2,high,Gray,Black,No,34580
Gasoline,No,Yes,2.4,Yes,1,low,White,Black,No,59950
Gasoline,Yes,Yes,2,Yes,4,high,Gray,Black,No,31000
Gasoline,Yes,No,5.3,Yes,5,above_expected,Blue,Beige,No,39000
Gasoline,No,Yes,4,No,4,verylow,White,Black,No,129900
Gasoline,Yes,No,3.6,Yes,3,low,White,Black,No,30000
Gasoline,No,No,3.6,Yes,3,high,Blue,Black,Yes,39998
Gasoline,No,No,4,Yes,17,verylow,Silver,Other_Colored,No,33580
Gasoline,No,No,6.2,Yes,1,avg,White,Other_Colored,No,93999
Gasoline,Yes,No,5.2,No,6,verylow,Blue,Black,No,77999
Gasoline,No,No,6.2,Yes,3,above_expected,Other,Other_Colored,Yes,79990
Gasoline,No,No,3.6,Yes,7,avg,Black,Beige,No,20000
Electric,No,Yes,,Yes,4,high,Black,Black,No,65990
Gasoline,No,Yes,2,Yes,7,low,Gray,Beige,No,28500
Other,Yes,No,5.3,Yes,7,avg,Silver,Black,No,39998
Gasoline,No,No,3.8,Yes,2,above_expected,White,Black,Yes,43329
Hybrid,No,No,3.4,Yes,1,high,Black,Black,Yes,63100
Gasoline,No,Yes,4,Yes,1,low,Black,Black,Yes,107900
Gasoline,Yes,No,5.6,Yes,6,above_expected,White,Black,No,26498
Diesel,No,Yes,3,Yes,4,avg,Blue,Black,Yes,46598
Gasoline,No,No,3.8,Yes,4,above_expected,Red,Black,No,32913
Gasoline,No,Yes,3.5,Yes,4,low,White,Black,No,45950
Hybrid,No,Yes,3,Yes,2,low,Gray,Other_Colored,No,69000
Hybrid,No,Yes,3,Yes,1,high,Gray,Other_Colored,No,133500
Diesel,No,No,6.6,Yes,9,avg,Black,Beige,No,54000
Gasoline,Yes,Yes,4.2,Yes,17,low,Black,Black,No,7999
Gasoline,No,No,8.4,No,7,verylow,Black,Black,No,489995
Gasoline,No,No,3.5,Yes,3,avg,Other,Black,Yes,55329
Other,No,No,,Yes,8,high,White,Other_Colored,No,17800
Gasoline,No,No,2.4,Yes,5,high,White,Black,No,16500
Gasoline,No,Yes,5,Yes,6,avg,Silver,Other_Colored,No,59000
Hybrid,No,Yes,3.5,No,3,high,Other,Other_Colored,No,52998
Gasoline,No,No,4.6,Yes,20,verylow,Black,Other_Colored,No,14900
Gasoline,No,No,2.4,No,12,low,White,Black,No,19600
Hybrid,No,Yes,3.5,Yes,7,high,White,Beige,No,31990
Other,No,No,3.6,Yes,5,avg,Black,Black,No,31953
Electric,No,Yes,,Yes,1,low,White,Other_Colored,No,48000
Gasoline,No,Yes,2.5,Yes,1,verylow,Gray,Black,No,78900
Gasoline,Yes,No,3.8,No,10,low,Black,Black,No,15000
Gasoline,No,Yes,3.4,No,16,low,Silver,Black,No,41500
Diesel,No,No,6.4,No,14,low,Other,Other_Colored,No,26095
Gasoline,No,No,2,Yes,8,avg,White,Black,Yes,16999
Gasoline,No,No,3.7,No,15,verylow,Silver,Other_Colored,No,21500
Gasoline,No,No,2,Yes,1,verylow,White,Other_Colored,No,40750
Gasoline,No,Yes,5,Yes,11,low,White,Beige,No,26000
Gasoline,No,Yes,4,Yes,4,low,White,Beige,No,69500
Gasoline,No,No,2.7,Yes,1,verylow,Black,Black,No,66500
Other,No,No,3.6,Yes,6,high,Black,Gray,No,32000
Other,No,No,,Yes,14,low,Black,Black,No,17500
Other,No,No,,Yes,11,avg,Gray,Black,No,7500
Other,No,No,3.6,Yes,11,avg,Black,Black,No,13500
Gasoline,Yes,Yes,4.2,Yes,11,avg,White,Black,No,35999
Gasoline,Yes,No,3.6,Yes,2,above_expected,Silver,Black,No,48995
Other,No,No,,No,32,low,Red,Black,No,11500
Gasoline,Yes,No,3.2,Yes,19,low,Gray,Other_Colored,No,6000
Gasoline,Yes,Yes,4.2,No,13,high,Black,Other_Colored,No,9900
Electric,No,Yes,,Yes,1,verylow,Blue,Black,No,85000
Gasoline,No,No,2,Yes,4,avg,Blue,Black,No,28500
Gasoline,No,Yes,3,Yes,10,avg,Black,Black,No,19000
Gasoline,No,Yes,2,Yes,5,low,White,Black,No,34500
Gasoline,Yes,Yes,4.4,Yes,5,low,Gray,Black,No,44495
Gasoline,Yes,Yes,3.5,Yes,5,low,White,Black,Yes,30999
Gasoline,Yes,No,2.4,Yes,9,avg,Gray,Black,No,9500
Electric,No,Yes,0.65,Yes,10,verylow,Black,Gray,No,12800
Gasoline,No,No,1.8,Yes,13,avg,Blue,Gray,No,4500
Gasoline,No,Yes,2,Yes,5,low,White,Beige,No,33500
Gasoline,No,No,1.8,No,21,avg,Black,Black,No,4199
Gasoline,No,No,5.7,Yes,3,avg,Black,Black,No,54800
Hybrid,No,Yes,3,Yes,2,low,Silver,Black,No,81500
Gasoline,Yes,Yes,2,Yes,6,avg,White,Beige,No,28000
Gasoline,No,No,3.5,Yes,5,avg,Other,Beige,No,52999
Gasoline,Yes,Yes,3.2,Yes,16,high,Blue,Gray,No,5700
Gasoline,Yes,No,6,Yes,18,high,Black,Black,No,6995
Gasoline,No,Yes,4,Yes,5,above_expected,White,Black,No,49998
Gasoline,No,Yes,2,Yes,6,above_expected,White,Other_Colored,No,25999
Gasoline,Yes,No,2.5,Yes,13,above_expected,Gray,Gray,No,7700
Gasoline,No,Yes,2,Yes,6,avg,Black,Black,No,29497
Gasoline,Yes,No,3.6,Yes,14,low,Black,Black,No,17000
Gasoline,Yes,No,2,No,12,verylow,Blue,Beige,No,20199
Gasoline,No,No,1.6,Yes,9,low,White,Gray,No,16250
Gasoline,Yes,Yes,5.5,Yes,9,verylow,Black,Black,No,59598
Hybrid,No,No,1.6,Yes,1,avg,White,Black,Yes,31113
Gasoline,Yes,Yes,2.9,No,14,low,Gray,Gray,No,20900
Gasoline,No,No,4,Yes,8,above_expected,Gray,Black,No,27750
Electric,No,No,,Yes,5,low,Black,Black,No,18200
Gasoline,No,Yes,2,Yes,8,high,Black,Black,No,18750
Other,No,No,5.4,Yes,12,above_expected,White,Gray,No,19550
Gasoline,No,Yes,5,Yes,20,verylow,Black,Gray,No,24900
Gasoline,No,No,2.4,Yes,6,low,Gray,Black,No,22000
Gasoline,No,Yes,4,Yes,6,above_expected,Blue,Beige,Yes,40998
Gasoline,No,Yes,4,Yes,3,avg,White,Beige,No,135800
Electric,No,Yes,,Yes,8,high,Silver,Other_Colored,No,39500
Gasoline,Yes,Yes,5,Yes,14,verylow,Blue,Black,No,44800
Gasoline,No,Yes,3,Yes,14,low,Black,Black,No,13000
Hybrid,No,Yes,4,Yes,2,verylow,Blue,Black,No,162500
Gasoline,No,No,4.6,Yes,18,low,Other,Beige,No,5000
Gasoline,No,No,2.7,Yes,8,high,Black,Black,No,18500
Gasoline,No,No,5.6,Yes,6,avg,Blue,Gray,No,37000
Gasoline,No,Yes,3,Yes,4,low,Blue,Other_Colored,No,114998
Other,No,Yes,,Yes,31,low,White,Gray,No,15300
Gasoline,No,Yes,3,Yes,9,low,Blue,Beige,No,24995
Gasoline,No,No,5.7,Yes,2,avg,Red,Black,Yes,69685
Gasoline,Yes,No,2.5,Yes,11,low,Black,Black,No,12995
Gasoline,Yes,No,2,Yes,14,low,White,Gray,No,10900
Electric,No,No,,Yes,2,verylow,Red,Black,No,47500
Gasoline,No,Yes,3,No,10,avg,Silver,Black,No,25990
Gasoline,No,No,5.7,Yes,6,avg,Black,Gray,No,38000
Gasoline,No,No,3.6,Yes,11,low,Other,Black,No,35000
Gasoline,No,Yes,4.2,Yes,18,low,Gray,Beige,No,16500
Gasoline,No,Yes,5,Yes,18,verylow,Blue,Beige,No,16750
Diesel,Yes,No,6.6,Yes,22,above_expected,Black,Gray,No,5000
Gasoline,Yes,No,4,Yes,13,avg,Gray,Gray,No,17000
Gasoline,No,Yes,4.4,Yes,1,verylow,White,Black,No,109900
Gasoline,No,Yes,4,No,8,verylow,White,Black,No,489000
Hybrid,No,Yes,3,Yes,1,low,White,Black,No,81998
Other,Yes,No,5,Yes,8,high,White,Gray,No,22000
Gasoline,No,Yes,4.4,Yes,2,verylow,Other,Black,No,114998
Gasoline,No,Yes,3.8,No,14,verylow,Black,Black,No,71400
Gasoline,No,Yes,3.2,Yes,16,verylow,White,Beige,No,11400
Gasoline,No,No,3.6,Yes,3,avg,Silver,Black,No,27798
Hybrid,Yes,No,1.5,Yes,4,above_expected,White,Black,No,20499
Gasoline,No,Yes,3.4,Yes,18,verylow,Black,Black,No,36250
Electric,No,Yes,,Yes,2,high,White,Other_Colored,No,47800
Gasoline,No,Yes,4.4,Yes,4,avg,Other,Black,No,71950
Gasoline,No,Yes,4.2,No,20,low,Silver,Gray,No,16000
Diesel,No,No,6.7,Yes,3,above_expected,Blue,Black,Yes,69998
Gasoline,No,No,2,Yes,1,low,White,Black,No,32500
Gasoline,Yes,No,3.6,Yes,5,low,White,Black,No,33500
Gasoline,No,Yes,6.6,Yes,4,low,White,Black,No,80998
Gasoline,Yes,Yes,3,Yes,9,verylow,White,Black,No,29000
Gasoline,Yes,No,3.6,Yes,8,above_expected,Blue,Beige,No,14599
Gasoline,Yes,Yes,3.7,Yes,10,high,Black,Black,No,19990
Gasoline,Yes,No,3.6,Yes,7,avg,Red,Beige,No,28890
Other,No,No,5.3,Yes,13,above_expected,Black,Black,No,9950
Gasoline,No,No,5.7,Yes,3,high,Other,Black,No,44750
Gasoline,No,Yes,2,Yes,2,above_expected,Gray,Black,No,35750
Gasoline,No,Yes,4.7,Yes,8,low,Black,Beige,No,35300
Gasoline,No,No,3.6,Yes,5,high,Black,Black,No,21000
Gasoline,Yes,Yes,4.2,Yes,20,low,Black,Beige,No,9500
Gasoline,No,No,6.2,Yes,4,verylow,Black,Black,No,150000
Diesel,Yes,Yes,3,Yes,12,avg,White,Other_Colored,No,24000
Gasoline,No,Yes,2,Yes,2,low,Silver,Black,Yes,42999
Gasoline,Yes,No,4.7,Yes,21,avg,Red,Gray,No,5700
Gasoline,No,Yes,2,Yes,12,low,White,Black,No,13800
Gasoline,Yes,Yes,2,Yes,6,high,Other,Beige,No,31500
Gasoline,No,Yes,3,Yes,12,low,White,Gray,No,19500
Gasoline,No,Yes,4.8,Yes,9,low,Black,Black,No,52590
Gasoline,No,Yes,4,Yes,4,verylow,Black,Beige,No,128900
Gasoline,No,No,6.2,No,1,verylow,Red,Black,No,51500
Hybrid,No,Yes,3,Yes,1,high,Black,Black,No,61998
Gasoline,No,Yes,4.7,Yes,6,verylow,Red,Black,No,67000
Gasoline,Yes,No,6.6,Yes,2,above_expected,Red,Black,No,67963
Gasoline,Yes,No,3.6,Yes,4,low,Red,Black,Yes,49427
Gasoline,No,No,3.6,Yes,2,high,White,Black,No,43389
Other,No,No,5.3,Yes,12,high,Black,Black,No,18000
Gasoline,No,Yes,4.4,Yes,6,avg,White,Other_Colored,No,60200
Other,No,No,5.6,Yes,15,avg,Other,Gray,No,19500
Gasoline,Yes,No,8.3,Yes,19,avg,Red,Black,No,19000
Other,No,No,5.3,Yes,11,above_expected,White,Black,No,15500
Gasoline,No,Yes,3.5,Yes,7,avg,Black,Other_Colored,No,33000
Gasoline,Yes,Yes,4.6,Yes,12,above_expected,Black,Black,No,11999
Gasoline,Yes,Yes,5.6,Yes,2,above_expected,Black,Black,No,47645
Gasoline,No,Yes,4,Yes,3,low,Blue,Black,No,75000
Gasoline,Yes,Yes,2,Yes,8,above_expected,Other,Beige,No,13500
Gasoline,No,Yes,3.4,Yes,10,avg,Other,Beige,No,68000
Gasoline,No,Yes,3.2,Yes,19,low,Blue,Gray,No,21750
Gasoline,No,Yes,4.4,Yes,3,low,Black,Black,No,94000
Gasoline,No,No,4,Yes,17,avg,White,Black,No,9450
Electric,No,No,,Yes,1,low,Silver,Gray,No,89999
Hybrid,No,Yes,2,Yes,2,low,Black,Gray,No,61999
Gasoline,No,Yes,2,Yes,8,above_expected,White,Other_Colored,No,16000
Gasoline,No,No,6.2,Yes,8,above_expected,White,Beige,No,29500
Gasoline,No,No,5.7,No,20,verylow,Gray,Black,No,25900
Gasoline,No,Yes,2,Yes,11,avg,Blue,Beige,No,11500
Gasoline,No,Yes,2,Yes,12,low,Silver,Black,No,17000
Gasoline,No,No,3.8,Yes,17,verylow,Red,Gray,No,6500
Gasoline,No,No,6.2,Yes,7,verylow,White,Black,No,44900
Electric,No,Yes,,Yes,1,low,White,Black,No,52000
Gasoline,No,Yes,3,No,9,avg,Gray,Black,No,40000
Gasoline,Yes,No,2.4,Yes,13,avg,Red,Other_Colored,No,6900
Gasoline,No,No,3,Yes,2,high,Black,Black,No,53568
Gasoline,No,No,2,Yes,3,low,White,Other_Colored,No,43860
Gasoline,No,No,3.5,Yes,9,high,Gray,Black,No,11995
Gasoline,Yes,Yes,4.4,Yes,9,avg,Black,Beige,No,26500
Gasoline,Yes,No,2.3,No,16,avg,Black,Black,No,6500
Gasoline,No,No,5.3,Yes,7,avg,Black,Black,No,45500
Electric,No,No,,Yes,1,low,Other,Black,Yes,41999
Gasoline,No,No,3.6,Yes,6,verylow,White,Gray,No,36990
Gasoline,No,No,3.6,Yes,3,high,Blue,Black,Yes,35113
Gasoline,Yes,Yes,3.5,Yes,10,avg,Gray,Black,Yes,23998
Gasoline,No,No,1.6,Yes,8,above_expected,Other,Beige,No,10990
Gasoline,No,No,5.3,Yes,21,low,Red,Black,No,16999
Gasoline,No,Yes,4.7,Yes,11,verylow,Gray,Beige,No,38900
Electric,No,Yes,,Yes,4,avg,Black,Black,No,65999
Gasoline,No,Yes,3,Yes,6,low,Black,Black,No,52000
Electric,No,Yes,,Yes,3,low,Red,Black,No,48500
Gasoline,No,No,2.5,Yes,9,above_expected,Gray,Black,No,13999
Gasoline,Yes,No,5.7,Yes,28,low,White,Beige,No,16999
Gasoline,No,Yes,5,Yes,7,above_expected,Silver,Black,No,36500
Gasoline,No,No,3.5,Yes,3,above_expected,Blue,Black,No,42691
Electric,No,No,,Yes,12,verylow,White,Beige,No,6700
Gasoline,No,No,3.5,No,5,avg,White,Black,No,42886
Gasoline,No,Yes,4,Yes,4,avg,Black,Other_Colored,No,112500
Gasoline,Yes,Yes,2,Yes,5,low,Blue,Beige,No,29000
Gasoline,Yes,Yes,3.5,Yes,17,low,Silver,Beige,No,10600
Gasoline,No,Yes,3.8,No,17,verylow,White,Beige,No,69995
Electric,No,Yes,,No,4,low,Black,Beige,No,96900
Gasoline,No,Yes,3,Yes,1,low,Other,Black,No,88950
Gasoline,Yes,No,6.2,Yes,4,verylow,Black,Black,No,69900
Gasoline,No,No,2.5,Yes,3,low,Blue,Black,No,25900
Gasoline,No,Yes,3,Yes,5,verylow,Black,Black,No,48000
Gasoline,No,No,5,No,8,verylow,Black,Black,No,33900
Electric,No,Yes,,Yes,2,low,Blue,Black,No,44400
Gasoline,Yes,Yes,2,Yes,13,low,Other,Other_Colored,No,23000
Gasoline,No,Yes,3,Yes,4,low,Black,Black,No,55000
Electric,No,Yes,,Yes,1,verylow,Blue,Black,No,54900
Gasoline,No,Yes,3,Yes,8,avg,Gray,Black,No,27500
Gasoline,No,Yes,3,Yes,6,avg,Gray,Black,No,49999
Gasoline,No,Yes,4.7,Yes,9,low,White,Beige,No,37000
Gasoline,No,No,2,No,22,low,Other,Other_Colored,No,27000
Gasoline,No,No,5.7,No,24,low,Other,Black,No,10000
Gasoline,No,No,3.6,Yes,4,low,Red,Black,No,35387
Gasoline,No,Yes,5.5,Yes,11,avg,Silver,Black,No,40000
Gasoline,No,Yes,6,Yes,11,avg,Black,Black,No,64000
Gasoline,Yes,No,8.1,Yes,22,verylow,Silver,Gray,No,16900
Gasoline,No,Yes,3,Yes,4,low,Blue,Black,No,42000
Gasoline,No,No,1.8,No,7,low,Black,Black,No,18700
Gasoline,Yes,No,5.3,Yes,7,above_expected,Blue,Black,No,34999
Gasoline,No,No,5.7,Yes,4,above_expected,Black,Beige,No,47500
Gasoline,Yes,No,2,No,7,avg,Red,Black,No,24000
Gasoline,Yes,No,2,No,9,high,White,Black,No,18000
Gasoline,Yes,Yes,3.7,Yes,10,avg,Red,Other_Colored,No,16488
Gasoline,Yes,No,5.3,Yes,7,above_expected,White,Beige,No,24950
Gasoline,Yes,No,4.7,Yes,18,high,Black,Gray,No,8900
Other,No,No,,No,8,verylow,Red,Other_Colored,No,37500
Gasoline,No,Yes,4.8,Yes,15,avg,Black,Black,No,15000
Gasoline,No,No,3.8,Yes,1,above_expected,Blue,Black,No,39900
Gasoline,Yes,Yes,4,Yes,5,verylow,Gray,Black,No,96000
Gasoline,No,Yes,3,Yes,10,verylow,White,Other_Colored,No,64995
Gasoline,No,No,2,No,7,low,Red,Black,No,23500
Gasoline,No,No,2,No,9,avg,Black,Black,No,12000
Gasoline,No,Yes,5,Yes,3,low,Black,Black,Yes,89900
Gasoline,No,No,3.7,No,11,avg,Red,Black,No,17500
Gasoline,No,No,6.2,Yes,4,above_expected,Black,Black,No,55000
Gasoline,No,Yes,3.5,Yes,12,low,White,Beige,No,19900
Hybrid,No,No,2.4,Yes,12,avg,Black,Black,No,8900
Diesel,No,No,6.6,Yes,2,above_expected,Silver,Gray,No,67500
